education_uri,education_label,count
http://www.wikidata.org/entity/Q1067870,Charterhouse School,8
http://www.wikidata.org/entity/Q49119,Brandeis University,8
http://www.wikidata.org/entity/Q432637,George Washington University,8
http://www.wikidata.org/entity/Q2027201,Maxim Tank Belarusian State Pedagogical University,8
http://www.wikidata.org/entity/Q20754971,Free University of Brussels,8
http://www.wikidata.org/entity/Q10279510,School of Arts and Humanities of the University of Lisbon,8
http://www.wikidata.org/entity/Q3064259,Paris Law Faculty,8
http://www.wikidata.org/entity/Q774489,Somerville College,8
http://www.wikidata.org/entity/Q739627,Pennsylvania State University,8
http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague,8
http://www.wikidata.org/entity/Q531779,Real Academia de España en Roma,8
http://www.wikidata.org/entity/Q263064,"University of California, Santa Barbara",8
http://www.wikidata.org/entity/Q49205,Wellesley College,8
http://www.wikidata.org/entity/Q13344,University of Bordeaux,8
http://www.wikidata.org/entity/Q1334582,University of Liège,8
http://www.wikidata.org/entity/Q672420,University of Königsberg,8
http://www.wikidata.org/entity/Q737835,University of Tehran,8
http://www.wikidata.org/entity/Q206702,University of Zurich,8
http://www.wikidata.org/entity/Q1933558,University Toulouse - Jean Jaurès,8
http://www.wikidata.org/entity/Q1068258,University College Dublin,8
http://www.wikidata.org/entity/Q1851014,Ural State University,8
http://www.wikidata.org/entity/Q661056,University of Poitiers,8
http://www.wikidata.org/entity/Q235034,University of Pittsburgh,8
http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison,8
http://www.wikidata.org/entity/Q58918586,Faculty of History and Philology of St. Petersburg University,7
http://www.wikidata.org/entity/Q2904557,Beloit College,7
http://www.wikidata.org/entity/Q1135137,Corpus Christi College,7
http://www.wikidata.org/entity/Q81173,Exeter College,7
http://www.wikidata.org/entity/Q4480794,Faculty of Social Sciences of Moscow State University,7
http://www.wikidata.org/entity/Q192964,Istanbul University,7
http://www.wikidata.org/entity/Q861548,Florida State University,7
http://www.wikidata.org/entity/Q3268638,Lycée Pierre-Corneille,7
http://www.wikidata.org/entity/Q27923720,Imperial Moscow University,7
http://www.wikidata.org/entity/Q579611,Haverford College,7
http://www.wikidata.org/entity/Q323681,Herzen University,7
http://www.wikidata.org/entity/Q201492,McGill University,7
http://www.wikidata.org/entity/Q3339070,New York University Institute of Fine Arts,7
http://www.wikidata.org/entity/Q1256981,San Francisco State University,7
http://www.wikidata.org/entity/Q157808,Technical University of Munich,7
http://www.wikidata.org/entity/Q1143281,Rugby School,7
http://www.wikidata.org/entity/Q1145306,University of Calcutta,7
http://www.wikidata.org/entity/Q1414861,University of Exeter,7
http://www.wikidata.org/entity/Q501758,University of Florida,7
http://www.wikidata.org/entity/Q29052,Vanderbilt University,7
http://www.wikidata.org/entity/Q46210,University of Milan,7
http://www.wikidata.org/entity/Q378134,UCLouvain,7
http://www.wikidata.org/entity/Q472316,University of Nottingham,7
http://www.wikidata.org/entity/Q748085,University of Perugia,7
http://www.wikidata.org/entity/Q219317,University of Pavia,7
http://www.wikidata.org/entity/Q1341516,Westminster School,7
http://www.wikidata.org/entity/Q494335,Tours University,7
http://www.wikidata.org/entity/Q707272,University of Bamberg,7
http://www.wikidata.org/entity/Q538452,Babeș-Bolyai University,6
http://www.wikidata.org/entity/Q12075113,"Faculty of History, Lviv University",6
http://www.wikidata.org/entity/Q57538520,Faculty of History of the Belarusian State Pedagogical University,6
http://www.wikidata.org/entity/Q469482,American University of Beirut,6
http://www.wikidata.org/entity/Q714717,Christ's College,6
http://www.wikidata.org/entity/Q734266,Courtauld Institute of Art,6
