archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q116940025,http://www.wikidata.org/entity/Q115144000,topographic mapping
http://www.wikidata.org/entity/Q116940025,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q116940025,http://www.wikidata.org/entity/Q3621486,landscape archaeology
http://www.wikidata.org/entity/Q11697462,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1169769,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q1169769,http://www.wikidata.org/entity/Q495527,classical philology
http://www.wikidata.org/entity/Q1169769,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q116984775,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1169949,http://www.wikidata.org/entity/Q166153,German studies
http://www.wikidata.org/entity/Q1169949,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1169949,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q1170154,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q1170154,http://www.wikidata.org/entity/Q1760972,Christian archaeology
http://www.wikidata.org/entity/Q117040795,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q11706892,http://www.wikidata.org/entity/Q145903,Egyptology
http://www.wikidata.org/entity/Q11708562,http://www.wikidata.org/entity/Q211423,goldsmith
http://www.wikidata.org/entity/Q11708562,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q11708562,http://www.wikidata.org/entity/Q35112127,historic building
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q10855061,archaeological find
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q113884090,Slavic archaeology
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117086015,http://www.wikidata.org/entity/Q2860615,freshwater underwater archaeology
