person_uri,person_label
http://www.wikidata.org/entity/Q104668678,Juantxo Agirre Mauleon
http://www.wikidata.org/entity/Q104670248,Alessandra Molinari
http://www.wikidata.org/entity/Q104672563,Jan Košťál
http://www.wikidata.org/entity/Q104673352,Miguel Ángel Zubimendi
http://www.wikidata.org/entity/Q104676326,James Rignall Wheeler
http://www.wikidata.org/entity/Q104698681,Bruno Overlaet
http://www.wikidata.org/entity/Q104708150,Wassili Ponomarjow
http://www.wikidata.org/entity/Q104713175,René Sanquer
http://www.wikidata.org/entity/Q104713861,Roberta Budriesi
http://www.wikidata.org/entity/Q104713870,Ali Hamlaoui
http://www.wikidata.org/entity/Q104713897,Alessandro Prosdocimi
http://www.wikidata.org/entity/Q104728,Joseph Braun
http://www.wikidata.org/entity/Q104728638,Séverine Laliberté
http://www.wikidata.org/entity/Q104731100,Francesco Samarelli
http://www.wikidata.org/entity/Q104761727,Bogdan Rutkowski
http://www.wikidata.org/entity/Q104761813,Tadeusz Wislanski
http://www.wikidata.org/entity/Q104763996,Lionel Marti
http://www.wikidata.org/entity/Q104770561,Ludwig Benesch
http://www.wikidata.org/entity/Q104771879,Félix Georges de Pachtère
http://www.wikidata.org/entity/Q104772404,Samuel Ventura Solsona
http://www.wikidata.org/entity/Q104785208,Kevin Butcher
http://www.wikidata.org/entity/Q104785942,Akira Matsui
http://www.wikidata.org/entity/Q1047933,Mikhail Evgenievich Masson
http://www.wikidata.org/entity/Q104796260,Jeremiah Zimmerman
http://www.wikidata.org/entity/Q104797693,Sebastián Jiménez Sánchez
http://www.wikidata.org/entity/Q104797766,Eugenio García Sandoval
http://www.wikidata.org/entity/Q104797824,Rafael Ramos Fernández
http://www.wikidata.org/entity/Q104798030,Alessandra Bravi
http://www.wikidata.org/entity/Q104809046,Richard Bryant
http://www.wikidata.org/entity/Q104814835,Szczęsny Jastrzębowski
http://www.wikidata.org/entity/Q104814914,Luisella Pejrani Baricco
http://www.wikidata.org/entity/Q104816485,Taher Ghalia
http://www.wikidata.org/entity/Q104835786,Oğuz Tekin
http://www.wikidata.org/entity/Q104840390,Samuel F. de los Santos Gallego
http://www.wikidata.org/entity/Q104845641,Hedwig Küthmann
http://www.wikidata.org/entity/Q104855919,Philippe Jacques
http://www.wikidata.org/entity/Q104855995,Stan Wood
http://www.wikidata.org/entity/Q104883987,Jan Schuster
http://www.wikidata.org/entity/Q104887683,Éleuthère Brassart
http://www.wikidata.org/entity/Q104901378,Ange Thomas Zénon Pons
http://www.wikidata.org/entity/Q104904319,Nancy C. Wilkie
http://www.wikidata.org/entity/Q104908202,Yvan Pailler
http://www.wikidata.org/entity/Q104964,Walter Riezler
http://www.wikidata.org/entity/Q105014783,Stefano Anastasio
http://www.wikidata.org/entity/Q10501504,Su Bingqi
http://www.wikidata.org/entity/Q105037705,Jose Manuel Hidalgo Cunarro
http://www.wikidata.org/entity/Q105071778,Agness Gidna
http://www.wikidata.org/entity/Q105079851,Vadim Arutyunov
http://www.wikidata.org/entity/Q105080,Wilhelm Bleicher
http://www.wikidata.org/entity/Q105092583,Michel Hilaire Clément-Janin
http://www.wikidata.org/entity/Q105097648,Nicholas Bogdan
http://www.wikidata.org/entity/Q105098206,Virgilio Catalano
http://www.wikidata.org/entity/Q105098383,Francesco Di Toppo
http://www.wikidata.org/entity/Q105099770,Theodore Woolsey Heermance
http://www.wikidata.org/entity/Q105099781,Mark Reginald Hull
http://www.wikidata.org/entity/Q105109718,Luís Raposo
http://www.wikidata.org/entity/Q105146436,Oleksandr Dzyhovskyi
http://www.wikidata.org/entity/Q105155013,Achillina Granata
http://www.wikidata.org/entity/Q105203,Walther Gothan
http://www.wikidata.org/entity/Q105207251,Cornelia Wieg
http://www.wikidata.org/entity/Q105207257,Lady Eliza D'Oyly Burroughs
http://www.wikidata.org/entity/Q1052303,Cecil Harcourt Smith
http://www.wikidata.org/entity/Q1052325,Cecil Mallaby Firth
http://www.wikidata.org/entity/Q1052866,Celeste Rinaldi
http://www.wikidata.org/entity/Q105299325,Joel Thomas Walker
http://www.wikidata.org/entity/Q105300198,Prudence Oliver Harper
http://www.wikidata.org/entity/Q105327485,Roland Besenval
http://www.wikidata.org/entity/Q105336472,Anny de Pous
http://www.wikidata.org/entity/Q105336840,Firouz Bagherzadeh
http://www.wikidata.org/entity/Q105338170,Alessandro Bedini
http://www.wikidata.org/entity/Q1053783,Richard J. C. Atkinson
http://www.wikidata.org/entity/Q105385397,Janet Grossman Burnett
http://www.wikidata.org/entity/Q105405740,Stephen Mrozowski
http://www.wikidata.org/entity/Q105405931,Elizabeth DeMarrais
http://www.wikidata.org/entity/Q105406578,Silvia Lusuardi Siena
http://www.wikidata.org/entity/Q105407532,Carmen Fernández Ochoa
http://www.wikidata.org/entity/Q105411155,Luisa Rotondi Secchi Tarugi
http://www.wikidata.org/entity/Q105414024,Josef Wimmer
http://www.wikidata.org/entity/Q105414528,Richard A. Gould
http://www.wikidata.org/entity/Q105425540,Anna Maria Visser Travagli
http://www.wikidata.org/entity/Q105450975,Bianca Maria Giannattasio
http://www.wikidata.org/entity/Q105450992,Carmela Angela Di Stefano
http://www.wikidata.org/entity/Q105453928,Th. Thomsen
http://www.wikidata.org/entity/Q10545988,Attila Székely
http://www.wikidata.org/entity/Q105469,Heinrich Rempel
http://www.wikidata.org/entity/Q105475626,Ramón Revilla Vielva
http://www.wikidata.org/entity/Q105479886,Sara Santoro
http://www.wikidata.org/entity/Q105488677,Oliver Pilz
http://www.wikidata.org/entity/Q105490905,Octavio Gil Farrés
http://www.wikidata.org/entity/Q105490986,Juan Arturo de Malibrán y Autet
http://www.wikidata.org/entity/Q105491183,Alejandro Marcos Pous
http://www.wikidata.org/entity/Q105494580,Enrico Giovanelli
http://www.wikidata.org/entity/Q105504188,Marilyn Kelly-Buccellati
http://www.wikidata.org/entity/Q105510760,Saverio Urciuoli
http://www.wikidata.org/entity/Q105516612,Joaquín Ruiz de Arbulo Bayona
http://www.wikidata.org/entity/Q105516854,Juan Carlos Elorza Guinea
http://www.wikidata.org/entity/Q105517287,Purificación Atrián Jordán
http://www.wikidata.org/entity/Q105530757,Alicia Perea Caveda
http://www.wikidata.org/entity/Q1055485,István Horváth
http://www.wikidata.org/entity/Q105561491,Enrico Dolci
http://www.wikidata.org/entity/Q105565309,Mabel Colhoun
http://www.wikidata.org/entity/Q105575482,Joaquín Córdoba Zoilo
