,person_uri,per_activ,gender,country,occup_s,edpl
186,http://www.wikidata.org/entity/Q3047990,1851-1875,male,France,anthropologist,other_uni
187,http://www.wikidata.org/entity/Q3920794,1851-1875,male,Ukraine,historian,other_uni
188,http://www.wikidata.org/entity/Q4575881,1851-1875,male,Scandinavia,historian,Uppsala University
189,http://www.wikidata.org/entity/Q328707,1851-1875,male,France,university-teacher,École Normale Supérieure
190,http://www.wikidata.org/entity/Q3304994,1851-1875,male,France,historian,other_uni
191,http://www.wikidata.org/entity/Q1322946,1851-1875,male,Central Europe,university-teacher,other_uni
192,http://www.wikidata.org/entity/Q96121826,1851-1875,male,Spain Port.,writer,other_uni
193,http://www.wikidata.org/entity/Q1413300,1851-1875,male,United Kingdom,anthropologist,other_uni
194,http://www.wikidata.org/entity/Q4558850,1851-1875,male,Germany,anthropologist,other_uni
195,http://www.wikidata.org/entity/Q3059952,1851-1875,male,France,other,other_uni
196,http://www.wikidata.org/entity/Q962271,1851-1875,male,Scandinavia,anthropologist,other_uni
197,http://www.wikidata.org/entity/Q1125422,1851-1875,male,Austria Hungary,museologist,other_uni
198,http://www.wikidata.org/entity/Q4191602,1851-1875,male,Russian Federation,historian,other_uni
199,http://www.wikidata.org/entity/Q1289215,1851-1875,male,Poland,university-teacher,other_uni
200,http://www.wikidata.org/entity/Q4214394,1851-1875,male,Ukraine,other,other_uni
201,http://www.wikidata.org/entity/Q3173441,1851-1875,male,Russian Federation,other,Saint Petersburg State University
202,http://www.wikidata.org/entity/Q3569644,1851-1875,male,Baltic States Fin. Belar.,historian,other_uni
203,http://www.wikidata.org/entity/Q4081464,1851-1875,male,United Kingdom,other,other_uni
204,http://www.wikidata.org/entity/Q1346136,1851-1875,male,Russian Federation,anthropologist,other_uni
205,http://www.wikidata.org/entity/Q12309988,1851-1875,male,Scandinavia,other,other_uni
206,http://www.wikidata.org/entity/Q4320887,1851-1875,male,Russian Federation,historian,other_uni
207,http://www.wikidata.org/entity/Q138714323,1851-1875,male,Baltic States Fin. Belar.,other,other_uni
208,http://www.wikidata.org/entity/Q3651043,1851-1875,male,Russian Federation,historian,other_uni
209,http://www.wikidata.org/entity/Q978749,1851-1875,male,France,historian,École des chartes
210,http://www.wikidata.org/entity/Q3121357,1851-1875,male,France,other,other_uni
211,http://www.wikidata.org/entity/Q3363311,1851-1875,male,Scandinavia,historian,other_uni
212,http://www.wikidata.org/entity/Q3420689,1851-1875,male,France,other,other_uni
213,http://www.wikidata.org/entity/Q86096,1851-1875,male,Belgium Netherl.,university-teacher,University of Bonn
214,http://www.wikidata.org/entity/Q84509,1851-1875,male,Austria Hungary,anthropologist,University of Vienna
215,http://www.wikidata.org/entity/Q83999,1851-1875,male,Central Europe,historian,other_uni
216,http://www.wikidata.org/entity/Q87123,1851-1875,male,Germany,university-teacher,Humboldt-Universität zu Berlin
217,http://www.wikidata.org/entity/Q838659,1851-1875,male,Czechia,anthropologist,other_uni
218,http://www.wikidata.org/entity/Q3767539,1851-1875,male,Czechia,other,other_uni
219,http://www.wikidata.org/entity/Q21502787,1851-1875,male,Czechia,other,University of Vienna
220,http://www.wikidata.org/entity/Q253996,1851-1875,male,Ukraine,historian,other_uni
221,http://www.wikidata.org/entity/Q2539169,1851-1875,male,France,anthropologist,other_uni
222,http://www.wikidata.org/entity/Q2522463,1851-1875,male,France,historian,École des chartes
223,http://www.wikidata.org/entity/Q5953172,1851-1875,male,Spain Port.,historian,other_uni
224,http://www.wikidata.org/entity/Q24009807,1851-1875,male,Russian Federation,historian,other_uni
225,http://www.wikidata.org/entity/Q5994701,1851-1875,male,Spain Port.,university-teacher,other_uni
226,http://www.wikidata.org/entity/Q60141,1851-1875,male,Germany,university-teacher,Humboldt-Universität zu Berlin
227,http://www.wikidata.org/entity/Q6044728,1851-1875,male,Scandinavia,art-historian,other_uni
228,http://www.wikidata.org/entity/Q213729,1851-1875,male,Germany,university-teacher,other_uni
229,http://www.wikidata.org/entity/Q7184669,1851-1875,male,Germany,anthropologist,Humboldt-Universität zu Berlin
230,http://www.wikidata.org/entity/Q17709250,1851-1875,male,France,other,other_uni
231,http://www.wikidata.org/entity/Q76432,1851-1875,male,Poland,university-teacher,Humboldt-Universität zu Berlin
232,http://www.wikidata.org/entity/Q18115768,1851-1875,male,Belgium Netherl.,historian,other_uni
233,http://www.wikidata.org/entity/Q18730201,1851-1875,male,United Kingdom,historian,other_uni
234,http://www.wikidata.org/entity/Q740782,1851-1875,male,France,university-teacher,other_uni
235,http://www.wikidata.org/entity/Q11731727,1851-1875,male,Poland,university-teacher,other_uni
236,http://www.wikidata.org/entity/Q16945443,1851-1875,male,France,other,École Normale Supérieure
237,http://www.wikidata.org/entity/Q66113,1851-1875,male,Germany,university-teacher,other_uni
238,http://www.wikidata.org/entity/Q1701974,1851-1875,male,United Kingdom,anthropologist,other_uni
239,http://www.wikidata.org/entity/Q2071744,1851-1875,male,Central Europe,historian,University of Vienna
240,http://www.wikidata.org/entity/Q11696246,1851-1875,male,Ukraine,historian,other_uni
241,http://www.wikidata.org/entity/Q681866,1851-1875,male,United Kingdom,historian,other_uni
242,http://www.wikidata.org/entity/Q68812,1851-1875,male,Germany,university-teacher,University of Göttingen
243,http://www.wikidata.org/entity/Q1749718,1851-1875,male,France,other,École des chartes
244,http://www.wikidata.org/entity/Q90821,1851-1875,male,Germany,other,Leipzig University
245,http://www.wikidata.org/entity/Q157155,1851-1875,male,France,historian,other_uni
246,http://www.wikidata.org/entity/Q2978167,1851-1875,male,France,anthropologist,other_uni
247,http://www.wikidata.org/entity/Q2958707,1851-1875,male,France,other,other_uni
248,http://www.wikidata.org/entity/Q2958248,1851-1875,male,France,other,Beaux-Arts de Paris
249,http://www.wikidata.org/entity/Q5585403,1851-1875,male,Germany,university-teacher,other_uni
250,http://www.wikidata.org/entity/Q2958167,1851-1875,male,France,other,other_uni
251,http://www.wikidata.org/entity/Q15063419,1851-1875,male,Ukraine,historian,other_uni
252,http://www.wikidata.org/entity/Q5554447,1851-1875,male,Spain Port.,prehistorian,other_uni
253,http://www.wikidata.org/entity/Q15147418,1851-1875,male,Russian Federation,other,other_uni
254,http://www.wikidata.org/entity/Q2754985,1851-1875,male,United Kingdom,university-teacher,other_uni
255,http://www.wikidata.org/entity/Q2745819,1851-1875,male,France,historian,other_uni
256,http://www.wikidata.org/entity/Q5498764,1851-1875,male,United Kingdom,anthropologist,other_uni
257,http://www.wikidata.org/entity/Q57106,1851-1875,male,Germany,art-historian,other_uni
258,http://www.wikidata.org/entity/Q1733509,1876-1900,male,Germany,university-teacher,Humboldt-Universität zu Berlin
259,http://www.wikidata.org/entity/Q15129866,1876-1900,male,United States Can.,university-teacher,Harvard University
260,http://www.wikidata.org/entity/Q3620334,1876-1900,male,Italy,other,other_uni
261,http://www.wikidata.org/entity/Q14379572,1876-1900,male,Russian Federation,university-teacher,other_uni
262,http://www.wikidata.org/entity/Q141037,1876-1900,male,United Kingdom,anthropologist,other_uni
263,http://www.wikidata.org/entity/Q15071264,1876-1900,male,Russian Federation,other,other_uni
264,http://www.wikidata.org/entity/Q15071913,1876-1900,male,Russian Federation,university-teacher,other_uni
265,http://www.wikidata.org/entity/Q2935101,1876-1900,male,Belgium Netherl.,historian,other_uni
