"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q102370","http://www.wikidata.org/entity/Q6581097","1919","Alfred Mallwitz","male"
"http://www.wikidata.org/entity/Q102428652","http://www.wikidata.org/entity/Q6581097","1963","José Antonio Mínguez Morales","male"
"http://www.wikidata.org/entity/Q102592","http://www.wikidata.org/entity/Q6581097","1818","Eduard von Kallee","male"
"http://www.wikidata.org/entity/Q10264441","http://www.wikidata.org/entity/Q6581097","1947","David Rindos","male"
"http://www.wikidata.org/entity/Q10268141","http://www.wikidata.org/entity/Q6581097","1920","Domingos de Pinho Brandão","male"
"http://www.wikidata.org/entity/Q10268357","http://www.wikidata.org/entity/Q6581072","1927","Dorath Pinto Uchôa","female"
"http://www.wikidata.org/entity/Q10270694","http://www.wikidata.org/entity/Q6581097","1966","Eduardo Góes Neves","male"
"http://www.wikidata.org/entity/Q10272408","http://www.wikidata.org/entity/Q6581097","1916","Emilio Estrada","male"
"http://www.wikidata.org/entity/Q102744","http://www.wikidata.org/entity/Q6581097","1955","Ricardo Eichmann","male"
"http://www.wikidata.org/entity/Q10280787","http://www.wikidata.org/entity/Q6581097","1870","Federico Maciñeira","male"
"http://www.wikidata.org/entity/Q10281227","http://www.wikidata.org/entity/Q6581097","1916","Fernando Altenfelder Silva","male"
"http://www.wikidata.org/entity/Q10281261","http://www.wikidata.org/entity/Q6581097","1921","Fernando Bandeira Ferreira","male"
"http://www.wikidata.org/entity/Q10284995","http://www.wikidata.org/entity/Q6581097","1833","Francisco Martins Sarmento","male"
"http://www.wikidata.org/entity/Q10285446","http://www.wikidata.org/entity/Q6581097","1852","Francisco de Sales da Costa Lobo","male"
"http://www.wikidata.org/entity/Q10285676","http://www.wikidata.org/entity/Q6581097","1804","François-Joseph Nolau","male"
"http://www.wikidata.org/entity/Q10287883","http://www.wikidata.org/entity/Q6581097","1847","Gabriel Pereira","male"
"http://www.wikidata.org/entity/Q10289641","http://www.wikidata.org/entity/Q6581097","1953","Gilson Rodolfo Martins","male"
"http://www.wikidata.org/entity/Q10289891","http://www.wikidata.org/entity/Q6581097","1927","Giovanni Gallo","male"
"http://www.wikidata.org/entity/Q102913","http://www.wikidata.org/entity/Q6581097","1930","Bernard Andreae","male"
"http://www.wikidata.org/entity/Q10295856","http://www.wikidata.org/entity/Q6581097","1885","Hipólito Cabaço","male"
"http://www.wikidata.org/entity/Q102971","http://www.wikidata.org/entity/Q6581097","1949","Gerhard Zimmer","male"
"http://www.wikidata.org/entity/Q10306464","http://www.wikidata.org/entity/Q6581097","1924","Javier Cabrera Darquea","male"
"http://www.wikidata.org/entity/Q10307378","http://www.wikidata.org/entity/Q6581097","1806","Joaquim Possidónio Narciso da Silva","male"
"http://www.wikidata.org/entity/Q10307516","http://www.wikidata.org/entity/Q6581072","1953","Joaquina Soares","female"
"http://www.wikidata.org/entity/Q10307586","http://www.wikidata.org/entity/Q6581097","1965","Joel Cleto","male"
"http://www.wikidata.org/entity/Q103076680","http://www.wikidata.org/entity/Q6581097","1956","Charles Stanish","male"
"http://www.wikidata.org/entity/Q1030838","http://www.wikidata.org/entity/Q6581072","1974","Cecília Gábli","female"
"http://www.wikidata.org/entity/Q1030884","http://www.wikidata.org/entity/Q6581097","1925","Miklós Gábori","male"
"http://www.wikidata.org/entity/Q10309419","http://www.wikidata.org/entity/Q6581097","1888","José Formosinho","male"
"http://www.wikidata.org/entity/Q103102","http://www.wikidata.org/entity/Q6581097","1843","Otto Tischler","male"
"http://www.wikidata.org/entity/Q103103","http://www.wikidata.org/entity/Q6581097","1890","Wilhelm Gaerte","male"
"http://www.wikidata.org/entity/Q1031045","http://www.wikidata.org/entity/Q6581097","1859","Ignác Gálffy","male"
"http://www.wikidata.org/entity/Q10310677","http://www.wikidata.org/entity/Q6581097","1944","José d'Encarnação","male"
"http://www.wikidata.org/entity/Q10310758","http://www.wikidata.org/entity/Q6581097","1890","José de Azevêdo Dantas","male"
"http://www.wikidata.org/entity/Q10311030","http://www.wikidata.org/entity/Q6581097","1908","João Alfredo Rohr","male"
"http://www.wikidata.org/entity/Q103120","http://www.wikidata.org/entity/Q6581097","1895","Carl Engel","male"
"http://www.wikidata.org/entity/Q10313177","http://www.wikidata.org/entity/Q6581097","1818","Justino Cúmano","male"
"http://www.wikidata.org/entity/Q1031450","http://www.wikidata.org/entity/Q6581097","1826","Imre Gózon","male"
"http://www.wikidata.org/entity/Q10320276","http://www.wikidata.org/entity/Q6581097","1913","Luciano Afonso dos Santos","male"
"http://www.wikidata.org/entity/Q10321741","http://www.wikidata.org/entity/Q6581097","1913","Luís de Castro Faria","male"
"http://www.wikidata.org/entity/Q1032201","http://www.wikidata.org/entity/Q6581097","1818","Lajos Haan","male"
"http://www.wikidata.org/entity/Q10322982","http://www.wikidata.org/entity/Q6581072","1977","Mafalda Capela","female"
"http://www.wikidata.org/entity/Q1032387","http://www.wikidata.org/entity/Q6581097","1925","Leslie Alcock","male"
"http://www.wikidata.org/entity/Q10323919","http://www.wikidata.org/entity/Q6581097","1895","Manuel Afonso do Paço","male"
"http://www.wikidata.org/entity/Q103240","http://www.wikidata.org/entity/Q6581097","1881","Fritz Krischen","male"
"http://www.wikidata.org/entity/Q10324194","http://www.wikidata.org/entity/Q6581097","1894","Manuel Heleno","male"
"http://www.wikidata.org/entity/Q10325619","http://www.wikidata.org/entity/Q6581072","1911","Margarida Ribeiro","female"
"http://www.wikidata.org/entity/Q1032757","http://www.wikidata.org/entity/Q6581097","1920","Gyula Hajnóczi","male"
"http://www.wikidata.org/entity/Q1032924","http://www.wikidata.org/entity/Q6581097","1788","Antal Haliczky","male"
"http://www.wikidata.org/entity/Q103323510","http://www.wikidata.org/entity/Q6581097","1922","Miklós Héjj","male"
"http://www.wikidata.org/entity/Q1033420","http://www.wikidata.org/entity/Q6581097","1849","József Hampel","male"
"http://www.wikidata.org/entity/Q1034352","http://www.wikidata.org/entity/Q6581072","1933","Hattula Moholy-Nagy","female"
"http://www.wikidata.org/entity/Q1034478","http://www.wikidata.org/entity/Q6581097","1822","Sándor Havas","male"
"http://www.wikidata.org/entity/Q1034478","http://www.wikidata.org/entity/Q6581097","1824","Sándor Havas","male"
"http://www.wikidata.org/entity/Q103449635","http://www.wikidata.org/entity/Q6581097","1906","Henry Detweiler","male"
"http://www.wikidata.org/entity/Q103450463","http://www.wikidata.org/entity/Q6581097","1966","Karl Banghard","male"
"http://www.wikidata.org/entity/Q10347690","http://www.wikidata.org/entity/Q6581097","1959","Pedro Paulo Funari","male"
"http://www.wikidata.org/entity/Q10348955","http://www.wikidata.org/entity/Q6581097","1914","Peter Paul Hilbert","male"
"http://www.wikidata.org/entity/Q10349667","http://www.wikidata.org/entity/Q6581097","1909","Pierre Biberson","male"
"http://www.wikidata.org/entity/Q1035501","http://www.wikidata.org/entity/Q6581097","1891","János Herepei","male"
"http://www.wikidata.org/entity/Q103563","http://www.wikidata.org/entity/Q6581097","1872","Carl Maria Kaufmann","male"
